frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt,fvangleX,fvangleY,var_fvangleX,var_fvangleY,var_fvangle
131, 0, 8.190, 0.93, 1, 41.267, 29.366, -644.9, -485.0, 1621.4, 31.419, -42.930, 25.885,0,0,0,8.43963362003956,8.43963362003956
132, 0, 8.238, 0.93, 1, 39.536, 26.210, -650.0, -493.1, 1628.4, 26.570, -41.085, 22.689,0,0,0,8.43963362003956,8.43963362003956
133, 0, 8.287, 0.93, 1, 38.204, 25.311, -653.8, -497.1, 1630.5, 24.829, -39.388, 21.281,0,0,0,8.43963362003956,8.43963362003956
134, 0, 8.337, 0.93, 1, 34.615, 22.556, -659.5, -499.8, 1625.9, 21.094, -34.767, 19.075,0,0,20.604210069444413,8.43963362003956,0
135, 0, 8.385, 0.93, 1, 32.809, 22.390, -662.9, -500.6, 1622.9, 21.092, -32.219, 18.584,0,0,31.408891139403217,8.43963362003956,0
136, 0, 8.436, 0.98, 1, 30.009, 21.156, -664.6, -501.4, 1606.3, 19.058, -28.419, 16.918,0,0,47.54348789286364,8.410468085106695,0
137, 0, 8.482, 0.98, 1, 29.292, 20.679, -670.7, -505.6, 1607.8, 18.293, -27.710, 16.807,0,0,45.519269742301844,15.216590978192091,0
138, 0, 8.526, 0.98, 1, 28.501, 20.362, -672.9, -506.6, 1603.3, 17.849, -26.655, 16.440,0,0.6000000000000089,143.4061120009901,16.971690453699125,0
139, 0, 8.566, 0.98, 1, 27.358, 20.409, -672.9, -502.9, 1587.0, 17.873, -25.022, 16.271,0,9.234042553191667,238.4485970479164,30.762146315225703,0
140, 0, 8.613, 0.98, 1, 26.816, 20.774, -677.0, -503.8, 1588.2, 18.307, -24.143, 16.210,0,0,2348.532078912162,1015.1455159595358,0
141, 0, 8.657, 0.98, 1, 26.475, 20.110, -679.1, -503.9, 1585.4, 17.362, -23.721, 15.758,0,0,2561.382726877596,1017.60623117915,0
142, 0, 8.707, 0.98, 1, 25.605, 19.098, -683.3, -505.0, 1581.2, 15.985, -22.556, 15.279,0,0,2623.794894927565,1506.3230895381816,0
143, 0, 8.751, 0.98, 1, 25.166, 18.746, -686.6, -505.8, 1581.9, 15.375, -21.980, 15.326,-14.354166666666655,0,2394.0908520099656,1443.744685636866,0
144, 0, 8.799, 0.98, 1, 25.707, 18.542, -690.5, -505.1, 1580.6, 15.276, -22.669, 15.270,-12.11111111111109,0,2213.0138430963348,1431.1097280188912,0
145, 0, 8.844, 0.98, 1, 26.094, 18.558, -692.8, -504.9, 1580.9, 15.270, -23.214, 15.023,-15.978723404255142,2.0425531914893376,2043.453813784379,1336.0705526032796,0
146, 0, 8.891, 0.98, 1, 26.654, 18.575, -693.1, -503.4, 1578.0, 15.366, -23.965, 14.892,-3.302325581395393,9.674418604651338,1958.372461905753,1131.452755060794,0
147, 0, 8.934, 0.98, 1, 26.825, 18.974, -695.4, -503.5, 1580.2, 15.782, -24.107, 14.983,-36.77999999999952,7.21999999999991,2005.9050935318407,1178.5581939503559,0
148, 0, 8.984, 0.98, 1, 28.206, 19.212, -696.3, -501.8, 1579.7, 16.143, -25.946, 14.920,-41.33333333333345,15.14285714285719,2382.1123928083935,1247.2096605016195,0
149, 0, 9.026, 0.98, 1, 29.528, 19.705, -696.9, -501.6, 1583.7, 16.779, -27.682, 15.203,-159.6739130434805,103.1521739130449,2748.107965515618,1374.1025591484072,0
150, 0, 9.072, 0.93, 1, 35.143, 22.671, -687.6, -496.2, 1579.2, 21.524, -35.027, 17.073,-87.36956521738908,31.282608695651394,1634.3178183171865,965.847025424862,0
151, 0, 9.118, 0.93, 1, 38.198, 23.773, -675.6, -489.8, 1568.7, 22.963, -39.046, 17.683,-89.40384615384686,91.09615384615451,1542.212892408184,972.771992532278,0
152, 0, 9.170, 0.93, 1, 41.930, 27.037, -663.3, -483.5, 1556.1, 27.700, -43.695, 19.951,-68.99999999999989,43.20833333333333,1252.1528927921486,701.6849044066029,0
